i,j,@count_type,@count_dir,@c_count
238035,223976,0,0,2427
239494,42451,0,0,490
239494,226257,0,0,230
239494,228083,0,0,670
240460,223684,0,0,1048
240796,240798,0,0,95
240798,240796,0,0,286
280035,42139,0,0,587
280281,209222,0,0,970
280286,185965,0,0,418
306154,239370,0,0,3881
310135,212699,0,0,850
310274,310276,0,0,3310
310339,50438,0,0,3406
310552,209147,0,0,855
310553,218633,0,0,615
310574,50285,0,0,2965
310590,226100,0,0,2304
